incident_id,inc_descrip,route,direction,Marker,number,inc_start,inc_duration,lanecount,blkDuration,respTime,rural
172160,Multivehicle Crash,I-640,Eastbound,Milepost,2,9/8/2017 12:48,77,2,50,1,Urban
172173,Single Vehicle Crash,I-40,Eastbound,Milepost,411,9/8/2017 15:30,86,0,0,13,Rural
172185,Multivehicle Crash,I-40,Westbound,Milepost,373,9/8/2017 17:01,80,2,54,1,Urban
172197,Multivehicle Crash,I-40,Westbound,Milepost,382,9/9/2017 1:20,32,2,32,6,Urban
172200,Overturned Vehicle,I-75,Northbound,Milepost,76,9/9/2017 5:54,81,1,79,N/A,Rural
172235,Multivehicle Crash,I-75,Southbound,Milepost,112,9/9/2017 15:11,64,0,0,0,Urban
172312,Multivehicle Crash,I-640,Westbound,Milepost,1,9/11/2017 7:55,133,1,4,1,Urban
172356,Single Vehicle Crash,I-275,Southbound,Milepost,0,9/11/2017 14:53,29,0,0,1,Urban
172373,Multivehicle Crash,I-640,Eastbound,Milepost,1,9/11/2017 18:34,60,0,0,2,Urban
172374,Single Vehicle Crash,I-75,Northbound,Milepost,108,9/11/2017 19:03,38,0,0,0,Urban
172376,Multivehicle Crash,I-640,Eastbound,Milepost,6,9/11/2017 19:17,99,0,0,1,Urban
172379,Single Vehicle Crash,I-640,Eastbound,Milepost,1,9/11/2017 22:18,44,0,0,1,Urban
172380,Multivehicle Crash,I-40,Westbound,Milepost,388,9/11/2017 23:41,34,1,19,32,Urban
172381,Single Vehicle Crash,I-40,Westbound,Milepost,378,9/12/2017 2:29,71,0,0,1,Urban
172384,Vehicle Fire,I-40,Eastbound,Milepost,387,9/12/2017 6:26,281,1,40,2,Urban
172388,Multivehicle Crash,I-40,Eastbound,Milepost,384,9/12/2017 7:59,24,0,0,22,Urban
172423,Vehicle Fire,I-81,Northbound,Milepost,33,9/12/2017 18:07,863,2,859,53,Rural
172441,Multivehicle Crash,I-75,Southbound,Milepost,108,9/13/2017 6:48,65,0,0,0,Urban
172443,Multivehicle Crash,I-640,Westbound,Milepost,0,9/13/2017 7:38,49,0,0,0,Urban
172447,Vehicle Fire,I-40,Westbound,Milepost,422,9/13/2017 7:59,15,0,0,N/A,Rural
172478,Multivehicle Crash,I-40,Westbound,Milepost,379,9/13/2017 14:19,43,2,41,3,Urban
172482,Single Vehicle Crash,I-40,Eastbound,Milepost,342,9/13/2017 15:21,212,1,188,5,Rural
172489,Multivehicle Crash,I-40,Eastbound,Milepost,382,9/13/2017 17:47,21,0,0,0,Urban
172491,Multivehicle Crash,I-275,Southbound,Milepost,1,9/13/2017 18:28,61,1,33,2,Urban
172508,Multivehicle Crash,I-640,Westbound,Milepost,6,9/14/2017 7:13,75,2,9,9,Urban
172557,Multivehicle Crash,I-640,Eastbound,Milepost,2,9/14/2017 16:58,57,1,18,8,Urban
172561,Multivehicle Crash,I-75,Northbound,Milepost,108,9/14/2017 17:49,47,0,0,0,Urban
172612,Multivehicle Crash,I-40,Eastbound,Milepost,375,9/15/2017 14:06,16,0,0,0,Urban
172620,Multivehicle Crash,I-40,Westbound,Milepost,374,9/15/2017 15:24,53,1,51,2,Urban
172621,Multivehicle Crash,I-40,Eastbound,Milepost,393,9/15/2017 15:28,38,0,0,23,Urban
172630,Multivehicle Crash,I-40,Eastbound,Milepost,373,9/15/2017 16:20,45,0,0,0,Urban
172635,Multivehicle Crash,I-40,Eastbound,Milepost,395,9/15/2017 17:04,67,0,0,4,Urban
172646,Multivehicle Crash,I-40,Westbound,Milepost,376,9/15/2017 18:26,22,0,0,0,Urban
172650,Multivehicle Crash,I-75,Northbound,Milepost,110,9/15/2017 19:22,35,0,0,0,Urban
172709,Multivehicle Crash,I-40,Westbound,Milepost,374,9/16/2017 16:49,35,0,0,0,Urban
172711,Single Vehicle Crash,I-40,Westbound,Milepost,378,9/16/2017 17:00,22,0,0,1,Urban
172758,Multivehicle Crash,I-40,Eastbound,Milepost,384,9/17/2017 16:47,53,0,0,0,Urban
172790,Multivehicle Crash,I-640,Westbound,Milepost,5,9/18/2017 7:40,73,0,0,0,Urban
172793,Multivehicle Crash,I-40,Westbound,Milepost,380,9/18/2017 7:52,51,0,0,0,Urban
172817,Multivehicle Crash,I-75,Southbound,Milepost,63,9/18/2017 11:22,26,1,25,N/A,Rural
172822,Multivehicle Crash,I-40,Eastbound,Milepost,392,9/18/2017 11:33,45,1,8,4,Urban
172852,Overturned Vehicle,I-40,Eastbound,Milepost,432,9/18/2017 17:11,40,2,36,N/A,Rural
172866,Multivehicle Crash,I-40,Westbound,Milepost,381,9/19/2017 7:36,46,1,7,1,Urban
172899,Multivehicle Crash,I-40,Eastbound,Milepost,380,9/19/2017 15:17,27,0,0,0,Urban
172900,Vehicle Fire,I-40,Westbound,Milepost,376,9/19/2017 15:36,55,1,54,0,Urban
172905,Multivehicle Crash,I-140,Westbound,Milepost,1,9/19/2017 17:33,33,1,4,20,Urban
172908,Multivehicle Crash,I-140,Westbound,Milepost,3,9/19/2017 18:06,63,1,26,0,Urban
172909,Multivehicle Crash,I-75,Northbound,Milepost,109,9/19/2017 18:18,62,0,0,0,Urban
172911,Multivehicle Crash,I-40,Eastbound,Milepost,388,9/19/2017 18:30,50,2,48,9,Urban
172915,Multivehicle Crash,I-40,Eastbound,Milepost,387,9/19/2017 19:18,150,1,3,60,Urban
172930,Multivehicle Crash,I-40,Eastbound,Milepost,379,9/20/2017 8:01,32,0,0,1,Urban
172944,Single Vehicle Crash,I-81,Southbound,Milepost,59,9/20/2017 12:53,57,1,52,N/A,Rural
172980,Multivehicle Crash,I-26,Eastbound,Milepost,14,9/21/2017 8:03,21,1,18,N/A,Rural
172996,Multivehicle Crash,I-75,Southbound,Milepost,135,9/21/2017 12:24,15,2,12,N/A,Rural
173002,Single Vehicle Crash,I-75,Northbound,Milepost,121,9/21/2017 13:25,43,1,30,12,Rural
173018,Multivehicle Crash,I-40,Eastbound,Milepost,390,9/21/2017 16:32,76,2,29,6,Urban
173031,Multivehicle Crash,I-75,Northbound,Milepost,122,9/21/2017 20:04,60,2,56,23,Rural
173032,Single Vehicle Crash,I-40,Eastbound,Milepost,379,9/21/2017 20:44,20,0,0,3,Urban
173035,Single Vehicle Crash,I-40,Eastbound,Milepost,376,9/21/2017 21:38,111,0,0,0,Urban
173038,Multivehicle Crash,I-40,Eastbound,Milepost,425,9/21/2017 22:49,45,2,43,N/A,Rural
173039,Multivehicle Crash,I-75,Southbound,Milepost,112,9/22/2017 1:00,94,1,93,N/A,Urban
173040,Single Vehicle Crash,I-640,Eastbound,Milepost,3,9/22/2017 2:30,4,1,2,N/A,Urban
173053,Multivehicle Crash,I-640,Westbound,Milepost,0,9/22/2017 7:43,48,0,0,0,Urban
173065,Multivehicle Crash,I-40,Eastbound,Milepost,375,9/22/2017 9:52,5,0,0,0,Urban
173066,Single Vehicle Crash,I-40,Westbound,Milepost,393,9/22/2017 9:53,86,0,0,1,Urban
173090,Multivehicle Crash,I-40,Eastbound,Milepost,368,9/22/2017 16:02,38,0,0,0,Urban
173091,Multivehicle Crash,I-40,Westbound,Milepost,387,9/22/2017 16:20,24,1,18,0,Urban
173092,Multivehicle Crash,I-40,Eastbound,Milepost,388,9/22/2017 16:22,49,1,47,22,Urban
173094,Multivehicle Crash,I-40,Westbound,Milepost,377,9/22/2017 16:40,68,1,5,2,Urban
173097,Multivehicle Crash,I-40,Westbound,Milepost,404,9/22/2017 17:15,43,1,15,0,Urban
